City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Busselton,AU,81.05,clear sky,-33.65,115.3333,
3,Beira,MZ,75.81,few clouds,-19.8436,34.8389,
5,Avarua,CK,75.25,light rain,-21.2078,-159.775,
12,Kapaa,US,78.78,clear sky,22.0752,-159.319,
14,Atuona,PF,77.61,light rain,-9.8,-139.0333,
15,Kandrian,PG,84.13,light rain,-6.2167,149.55,
17,Acapulco,MX,80.42,broken clouds,16.8634,-99.8901,
19,Rikitea,PF,79.0,clear sky,-23.1203,-134.9692,
21,Hithadhoo,MV,82.09,moderate rain,-0.6,73.0833,
22,Faanui,PF,80.38,light rain,-16.4833,-151.75,
24,Souillac,MU,80.98,light rain,-20.5167,57.5167,
32,Carnarvon,AU,86.07,clear sky,-24.8667,113.6333,
33,Puerto Ayora,EC,75.54,overcast clouds,-0.7393,-90.3518,
34,Georgetown,MY,84.13,few clouds,5.4112,100.3354,
36,Mogadishu,SO,76.59,overcast clouds,2.0371,45.3438,
37,Zaraza,VE,75.63,scattered clouds,9.3503,-65.3245,
38,Sibolga,ID,81.09,scattered clouds,1.7427,98.7792,
41,Hilo,US,78.53,few clouds,19.7297,-155.09,
53,Padang,ID,80.65,broken clouds,-0.9492,100.3543,
60,Butaritari,KI,81.12,light rain,3.0707,172.7902,
62,Sola,VU,82.76,overcast clouds,-13.8833,167.55,
66,Saint-Philippe,RE,78.39,scattered clouds,-21.3585,55.7679,
71,Alofi,NU,81.01,light rain,-19.0595,-169.9187,
84,Saint-Leu,RE,79.63,clear sky,-21.15,55.2833,
86,Vila Velha,BR,75.15,scattered clouds,-20.3297,-40.2925,
89,Puerto Escondido,MX,79.63,scattered clouds,15.85,-97.0667,
93,Boa Vista,BR,82.38,clear sky,2.8197,-60.6733,
100,Bambous Virieux,MU,80.85,moderate rain,-20.3428,57.7575,
106,Quatre Cocos,MU,80.71,moderate rain,-20.2078,57.7625,
111,Grand Gaube,MU,81.0,overcast clouds,-20.0064,57.6608,
119,Cayenne,GF,80.1,broken clouds,4.9333,-52.3333,
122,Adamantina,BR,76.75,few clouds,-21.6853,-51.0725,
123,Mahebourg,MU,80.89,scattered clouds,-20.4081,57.7,
124,Lufilufi,WS,86.79,broken clouds,-13.8745,-171.5986,
128,Nelson Bay,AU,82.09,scattered clouds,-32.7167,152.15,
131,Arraial Do Cabo,BR,75.43,few clouds,-22.9661,-42.0278,
133,Burnie,AU,77.94,overcast clouds,-41.0667,145.9167,
137,Cockburn Town,TC,77.65,clear sky,21.4612,-71.1419,
139,Kavieng,PG,84.43,light rain,-2.5744,150.7967,
147,Carutapera,BR,77.02,overcast clouds,-1.195,-46.02,
152,Mount Isa,AU,89.37,overcast clouds,-20.7333,139.5,
159,Huixtla,MX,78.48,broken clouds,15.15,-92.4667,
162,Ocos,GT,82.31,clear sky,14.5094,-92.1933,
163,Nabire,ID,86.54,overcast clouds,-3.3667,135.4833,
175,Kupang,ID,84.11,clear sky,-10.1667,123.5833,
176,Fare,PF,81.46,light rain,-16.7,-151.0167,
177,Barra Patuca,HN,76.66,clear sky,15.8,-84.2833,
185,Tamandare,BR,79.79,scattered clouds,-8.7597,-35.1047,
196,Vaini,TO,80.42,overcast clouds,-21.2,-175.2,
198,Suchindram,IN,76.19,few clouds,8.15,77.4833,
199,Soyo,AO,78.48,overcast clouds,-6.1349,12.3689,
204,Bowen,AU,83.41,few clouds,-20.0167,148.2333,
205,Flinders,AU,83.17,overcast clouds,-34.5833,150.8552,
211,Porto Velho,BR,75.25,clear sky,-8.7619,-63.9039,
216,Malakal,SS,76.87,overcast clouds,9.5334,31.6605,
218,Saint-Joseph,RE,79.16,few clouds,-21.3667,55.6167,
223,Bonfim,BR,80.06,scattered clouds,3.0833,-59.95,
225,Vanimo,PG,82.18,overcast clouds,-2.6741,141.3028,
227,Bengkulu,ID,81.36,overcast clouds,-3.8004,102.2655,
232,Dingle,PH,83.37,overcast clouds,10.9995,122.6711,
233,Meulaboh,ID,79.2,overcast clouds,4.1363,96.1285,
234,Gorontalo,ID,82.96,overcast clouds,0.5412,123.0595,
237,Port-Gentil,GA,80.65,overcast clouds,-0.7193,8.7815,
245,Axim,GH,78.28,overcast clouds,4.8699,-2.2405,
246,Maragogi,BR,79.83,few clouds,-9.0122,-35.2225,
250,Tautira,PF,86.02,light rain,-17.7333,-149.15,
253,Banda Aceh,ID,81.09,broken clouds,5.5577,95.3222,
254,Santa Rita,BR,81.27,scattered clouds,-7.1139,-34.9781,
255,Kavaratti,IN,80.6,clear sky,10.5669,72.642,
260,Inhambane,MZ,75.33,clear sky,-23.865,35.3833,
261,Kununurra,AU,76.98,moderate rain,-15.7667,128.7333,
262,Geraldton,AU,84.61,clear sky,-28.7667,114.6,
274,Sungai Padi,TH,80.1,overcast clouds,6.0851,101.8766,
301,Cairns,AU,88.11,broken clouds,-16.9167,145.7667,
